line,sex,unit,age_days,weight_g,weight_lb,daily_gain_g,daily_gain_lb,avg_daily_gain_g,avg_daily_gain_lb,cum_fcr,daily_feed_intake_g,daily_feed_intake_lb,cum_feed_intake_g,cum_feed_intake_lb,source_doc
cobb500,female,metric,16,667.0,,66.0,,39.1,,,86.0,,725.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,17,737.0,,70.0,,40.9,,,93.0,,818.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,18,810.0,,73.0,,42.7,,,99.0,,917.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,19,885.0,,75.0,,44.4,,,106.0,,1023.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,20,963.0,,78.0,,46.1,,,112.0,,1135.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,21,1043.0,,80.0,,47.7,,,118.0,,1253.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,22,1126.0,,83.0,,49.3,,,124.0,,1377.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,23,1210.0,,84.0,,50.8,,,130.0,,1507.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,24,1297.0,,87.0,,52.3,,,136.0,,1643.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,25,1386.0,,89.0,,53.8,,,141.0,,1784.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,26,1477.0,,91.0,,55.2,,,146.0,,1930.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,27,1569.0,,92.0,,56.6,,,151.0,,2081.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,28,1662.0,,93.0,,57.9,,,156.0,,2237.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,29,1757.0,,95.0,,59.1,,,161.0,,2398.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,30,1853.0,,96.0,,60.4,,,165.0,,2563.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,31,1951.0,,98.0,,61.6,,,169.0,,2732.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,32,2049.0,,98.0,,62.7,,,173.0,,2905.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,33,2148.0,,99.0,,63.8,,,177.0,,3082.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,34,2248.0,,100.0,,64.9,,,181.0,,3263.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,35,2348.0,,100.0,,65.9,,,185.0,,3448.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,36,2448.0,,100.0,,66.8,,,188.0,,3636.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,37,2549.0,,101.0,,67.8,,,192.0,,3828.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,38,2650.0,,101.0,,68.6,,,196.0,,4024.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,39,2751.0,,101.0,,69.5,,,199.0,,4223.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,40,2852.0,,101.0,,70.3,,,203.0,,4426.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,41,2952.0,,100.0,,71.0,,,207.0,,4633.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,42,3052.0,,100.0,,71.7,,,210.0,,4843.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,43,3151.0,,99.0,,72.3,,,214.0,,5057.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,44,3250.0,,99.0,,72.9,,,218.0,,5275.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,45,3348.0,,98.0,,73.5,,,222.0,,5497.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,46,3445.0,,97.0,,74.0,,,226.0,,5723.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,47,3540.0,,95.0,,74.4,,,230.0,,5953.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,48,3635.0,,95.0,,74.9,,,234.0,,6187.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,49,3728.0,,93.0,,75.2,,,238.0,,6425.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,50,3819.0,,91.0,,75.5,,,242.0,,6667.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,51,3909.0,,90.0,,75.8,,,245.0,,6912.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,52,3997.0,,88.0,,76.1,,,249.0,,7161.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,53,4083.0,,86.0,,76.3,,,252.0,,7413.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,54,4167.0,,84.0,,76.4,,,254.0,,7667.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,55,4249.0,,82.0,,76.5,,,256.0,,7923.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,56,4329.0,,80.0,,76.6,,,257.0,,8180.0,,2022-Cobb500-Broiler-Performance.xlsx
